id,kuntanro,kuntanimi,asuntolkm,talotyyppi,rahmuoto,rahmuoto2,valmvuosi
103,49,Espoo,1,AP,VR,VO,2020
634,91,Helsinki,106,AK,VR,VO,2020
1892,753,Sipoo,1,AP,VR,VO,2020
1459,186,Jarvenpaa,39,AK,VR,VO,2020
638,91,Helsinki,4,AP,VR,VO,2020
530,91,Helsinki,7,AP,ASO,ASO,2020
1250,92,Vantaa,1,AP,VR,VO,2020
899,91,Helsinki,1,AP,VR,VO,2020
150,49,Espoo,1,AP,VR,VO,2020
1113,92,Vantaa,1,AP,VR,VO,2020
521,91,Helsinki,1,AP,VR,VO,2020
1795,543,Nurmijarvi,1,AP,VR,VO,2020
404,49,Espoo,1,AP,VR,VO,2020
2089,858,Tuusula,2,AP,VR,VO,2020
432,49,Espoo,1,AP,VR,VO,2020
1263,92,Vantaa,14,AK,VR,VO,2020
573,91,Helsinki,15,AP,ARA,PK,2020
1216,92,Vantaa,1,AP,VR,VO,2020
676,91,Helsinki,2,AP,VR,VO,2020
1382,235,Kauniainen,12,AK,VR,VO,2020
1400,235,Kauniainen,1,AP,VR,VO,2020
289,49,Espoo,1,AP,VR,VO,2020
586,91,Helsinki,18,AK,ASO,ASO,2020
2091,858,Tuusula,1,AP,VR,VO,2020
1242,92,Vantaa,70,AK,VR,VV,2020
726,91,Helsinki,65,AK,VR,VV,2020
889,91,Helsinki,2,AP,VR,VO,2020
423,49,Espoo,1,AP,VR,VO,2020
1217,92,Vantaa,1,AP,VR,VO,2020
1961,858,Tuusula,1,AP,VR,VO,2020
1628,257,Kirkkonummi,1,AP,VR,VO,2020
1921,753,Sipoo,1,AP,VR,VO,2020
1741,505,Mantsala,1,AP,VR,VO,2020
1203,92,Vantaa,1,AP,VR,VO,2020
2149,927,Vihti,2,AP,VR,VO,2020
142,49,Espoo,2,AP,VR,VO,2020
1703,505,Mantsala,1,AP,VR,VO,2020
1953,858,Tuusula,1,AP,VR,VO,2020
1034,92,Vantaa,1,AP,VR,VO,2020
840,91,Helsinki,1,AP,VR,VO,2020
693,91,Helsinki,2,AP,VR,VO,2020
1440,106,Hyvinkaa,1,AP,VR,VO,2020
218,49,Espoo,1,AP,VR,VO,2020
503,91,Helsinki,80,AK,VR,VV,2020
1691,257,Kirkkonummi,3,AP,VR,VO,2020
740,91,Helsinki,1,AP,VR,VO,2020
338,49,Espoo,1,AP,VR,VO,2020
848,91,Helsinki,2,AP,VR,VO,2020
1464,186,Jarvenpaa,2,AP,VR,VO,2020
1567,186,Jarvenpaa,9,AK,VR,VO,2020
1868,753,Sipoo,1,AP,VR,VO,2020
1744,505,Mantsala,2,AP,VR,VO,2020
23,49,Espoo,30,AK,VR,VO,2020
591,91,Helsinki,35,AK,ASO,ASO,2020
2124,927,Vihti,1,AP,VR,VO,2020
1686,257,Kirkkonummi,1,AP,VR,VO,2020
1900,753,Sipoo,1,AP,VR,VO,2020
657,91,Helsinki,2,AP,VR,VO,2020
337,49,Espoo,1,AP,VR,VO,2020
907,91,Helsinki,1,AP,VR,VO,2020
720,91,Helsinki,1,AP,VR,VO,2020
760,91,Helsinki,4,AP,VR,VO,2020
611,91,Helsinki,2,AP,VR,VO,2020
1311,92,Vantaa,2,AP,VR,VO,2020
1503,186,Jarvenpaa,1,AP,VR,VO,2020
2067,858,Tuusula,1,AP,VR,VO,2020
1948,858,Tuusula,1,AP,VR,VO,2020
658,91,Helsinki,30,AK,VR,VO,2020
698,91,Helsinki,2,AP,VR,VO,2020
1170,92,Vantaa,1,AP,VR,VO,2020
574,91,Helsinki,56,AK,ARA,PK,2020
1478,186,Jarvenpaa,1,AP,VR,VO,2020
768,91,Helsinki,1,AP,VR,VO,2020
119,49,Espoo,1,AP,VR,VO,2020
1594,245,Kerava,1,AP,VR,VO,2020
967,91,Helsinki,1,AK,VR,VO,2020
2046,858,Tuusula,2,AP,VR,VO,2020
355,49,Espoo,1,AP,VR,VO,2020
2001,858,Tuusula,2,AP,VR,VO,2020
620,91,Helsinki,44,AK,VR,VO,2020
581,91,Helsinki,50,AK,ARA,PK,2020
1265,92,Vantaa,1,AP,VR,VO,2020
473,49,Espoo,4,AP,VR,VO,2020
2042,858,Tuusula,1,AP,VR,VO,2020
354,49,Espoo,1,AP,VR,VO,2020
1253,92,Vantaa,1,AP,VR,VO,2020
523,91,Helsinki,1,AP,VR,VO,2020
98,49,Espoo,2,AP,VR,VO,2020
1229,92,Vantaa,1,AP,VR,VO,2020
741,91,Helsinki,1,AP,VR,VO,2020
1620,257,Kirkkonummi,1,AP,VR,VO,2020
1826,543,Nurmijarvi,4,AP,VR,VO,2020
1298,92,Vantaa,1,AP,VR,VO,2020
724,91,Helsinki,22,AK,VR,VO,2020
9,49,Espoo,88,AK,VR,VV,2020
1384,235,Kauniainen,18,AK,VR,VO,2020
1746,543,Nurmijarvi,1,AP,VR,VO,2020
1913,753,Sipoo,1,AP,VR,VO,2020
821,91,Helsinki,1,AP,VR,VO,2020
43,49,Espoo,52,AK,VR,VV,2020
1083,92,Vantaa,1,AP,VR,VO,2020
411,49,Espoo,2,AP,VR,VO,2020
1047,92,Vantaa,1,AP,VR,VO,2020
2013,858,Tuusula,1,AP,VR,VO,2020
1323,92,Vantaa,2,AP,VR,VO,2020
991,91,Helsinki,7,AK,VR,VO,2020
1903,753,Sipoo,1,AP,VR,VO,2020
1005,91,Helsinki,1,AK,VR,VO,2020
2045,858,Tuusula,1,AP,VR,VO,2020
834,91,Helsinki,1,AP,VR,VO,2020
